,lat,lon,final
293,26.24180603,-80.16449738,Florida
294,27.90029907,-82.30239868,Florida
295,47.44650269,-122.3191986,Washington
296,40.70730591,-73.6760025,New York
297,32.3289032,-80.69940186,South Carolina
298,35.12409973,-106.7675018,New Mexico
299,44.25860596,-88.50650024,Wisconsin
300,41.70379639,-73.92179871,New York
301,25.66149902,-80.41200256,Florida
302,37.75100708,-97.8219986,Kansas
303,41.83380127,-72.57060242,Connecticut
304,29.67889404,-95.40809631,Texas
305,32.80369568,-83.61810303,Georgia
306,32.24060059,-110.9442978,Arizona
307,32.77870178,-96.82170105,Texas
308,32.04049683,-95.52559662,Texas
309,41.44520569,-81.69960022,Ohio
310,42.42500305,-83.37439728,Michigan
311,26.45399475,-80.13330078,Florida
312,40.73170471,-73.9885025,New York
313,26.1829071,-80.22380066,Florida
314,29.77020264,-95.3628006,Texas
315,40.27130127,-80.17019653,Pennsylvania
316,28.0821991,-82.52390289,Florida
317,40.71279907,-73.29620361,New York
318,39.9315033,-91.38400269,Illinois
319,41.14660645,-81.5644989,Ohio
320,33.07699585,-97.07019806,Texas
321,32.77870178,-96.82170105,Texas
322,45.00570679,-93.37860107,Minnesota
323,39.56900024,-104.8582001,Colorado
324,35.68760681,-77.16609955,North Carolina
325,47.62010193,-122.1408005,Washington
326,34.35150146,-82.05930328,South Carolina
327,37.66830444,-97.27729797,Kansas
328,39.9611969,-82.99880219,Ohio
329,33.74899292,-84.38800049,Georgia
330,39.90440369,-85.99289703,Indiana
331,40.73170471,-73.9885025,New York
332,28.08979797,-82.5759964,Florida
333,33.21479797,-97.13310242,Texas
334,41.30940247,-72.9240036,Connecticut
335,36.16589355,-86.78440094,Tennessee
336,28.21580505,-82.6595993,Florida
337,33.93060303,-84.46130371,Georgia
338,42.64959717,-88.29850006,Wisconsin
339,35.21409607,-87.00969696,Tennessee
340,35.98170471,-84.1289978,Tennessee
341,30.46209717,-87.2173996,Florida
342,40.75779724,-89.60980225,Illinois
343,33.4499054,-112.0711975,Arizona
344,34.33810425,-119.3119965,California
345,38.65539551,-90.4539032,Missouri
346,32.77870178,-96.82170105,Texas
347,28.55349731,-81.30039978,Florida
348,32.73570251,-97.10810089,Texas
349,40.89959717,-81.43959808,Ohio
350,40.15820313,-80.25530243,Pennsylvania
351,35.96659851,-79.04100037,North Carolina
352,26.63859558,-80.25119781,Florida
353,43.03019714,-88.21530151,Wisconsin
354,47.98910522,-122.2006989,Washington
355,40.73379517,-73.26519775,New York
356,21.32090759,-157.8388977,Hawaii
357,29.707901,-95.40100098,Texas
358,32.78619385,-79.94709778,South Carolina
359,34.10360718,-92.06569672,Arkansas
360,39.81149292,-74.98290253,New Jersey
361,33.49119568,-111.9236984,Arizona
362,32.30470276,-106.6417007,New Mexico
363,61.2059021,-149.8231964,Alaska
364,33.42010498,-86.78669739,Alabama
365,45.72259521,-68.79509735,Maine
366,31.85450745,-106.5329971,Texas
367,27.76930237,-97.44400024,Texas
368,40.83259583,-74.13069916,New Jersey
369,26.19059753,-80.11100006,Florida
370,25.73629761,-80.40440369,Florida
371,47.40840149,-122.1957016,Washington
372,35.98939514,-79.50469971,North Carolina
373,28.6000061,77.20001221,Delhi
374,45.53770447,-122.6006012,Oregon
375,42.00740051,-94.38249969,Iowa
376,41.57879639,-93.68009949,Iowa
377,40.84469604,-74.47810364,New Jersey
378,31.4382019,-83.43910217,Georgia
379,40.21809387,-111.6132965,Utah
380,41.66400146,-91.54470062,Iowa
381,38.89360046,-104.735199,Colorado
382,38.62530518,-90.26940155,Missouri
383,42.91290283,-76.56590271,New York
384,43.07440186,-75.21170044,New York
385,43.45469666,-86.34529877,Michigan
386,29.83270264,-95.66269684,Texas
387,39.94219971,-82.97429657,Ohio
388,40.31599426,-76.0345993,Pennsylvania
389,40.76989746,-72.99939728,New York
390,29.67889404,-95.40809631,Texas
